Time,Event context,Component,Event name,Description,Origin,IP address
"3/11/18, 14:41",Course: Програмни езици,Logs,Log report viewed,The user with id '2' viewed the log report for the course with id '49'.,web,212.5.158.162
"3/11/18, 11:33",Course: Програмни езици,Logs,Log report viewed,The user with id '2' viewed the log report for the course with id '49'.,web,212.5.158.162
"3/11/18, 11:33",Course: Програмни езици,Logs,Log report viewed,The user with id '2' viewed the log report for the course with id '49'.,web,212.5.158.162
"3/11/18, 11:33",Course: Програмни езици,Logs,Log report viewed,The user with id '2' viewed the log report for the course with id '49'.,web,212.5.158.162
"3/11/18, 11:32",File: Лекция 1,File,Course module viewed,The user with id '2' viewed the 'resource' activity with course module id '708'.,web,212.5.158.162
"3/11/18, 11:32",Course: Програмни езици,Activity report,Activity report viewed,The user with id '2' viewed the outline activity report for the course with id '49'.,web,212.5.158.162
"3/11/18, 11:32",Course: Програмни езици,Live logs,Live log report viewed,The user with id '2' viewed the live log report for the course with id '49'.,web,212.5.158.162
"3/11/18, 11:31",Course: Програмни езици,Logs,Log report viewed,The user with id '2' viewed the log report for the course with id '49'.,web,212.5.158.162
"3/11/18, 11:30",Course: Програмни езици,System,Course viewed,The user with id '2' viewed the course with id '49'.,web,212.5.158.162
"3/11/18, 09:10",File: Конспект 2017-2018,File,Course module viewed,The user with id '7183' viewed the 'resource' activity with course module id '4808'.,web,130.204.164.14
"3/11/18, 09:10",Course: Програмни езици,System,Course viewed,The user with id '7183' viewed the course with id '49'.,web,130.204.164.14
"3/11/18, 09:10",Course: Програмни езици,System,Course viewed,The user with id '7183' viewed the course with id '49'.,web,130.204.164.14
"3/11/18, 09:09",Course: Програмни езици,System,User list viewed,The user with id '7183' viewed the list of users in the course with id '49'.,web,130.204.164.14
"3/11/18, 09:09",Course: Програмни езици,System,Course viewed,The user with id '7183' viewed the course with id '49'.,web,130.204.164.14
"3/11/18, 09:09",File: Списък курсови задачи,File,Course module viewed,The user with id '7183' viewed the 'resource' activity with course module id '1084'.,web,130.204.164.14
"3/11/18, 09:09",Course: Програмни езици,System,Course viewed,The user with id '7183' viewed the course with id '49'.,web,130.204.164.14
"3/11/18, 09:08",File: Списък на студентите за получаване на проекти за освобождаване от изпит по ПЕ (2018-2019),File,Course module viewed,The user with id '7183' viewed the 'resource' activity with course module id '5104'.,web,130.204.164.14
"3/11/18, 09:08",Course: Програмни езици,System,Course viewed,The user with id '7183' viewed the course with id '49'.,web,130.204.164.14
"2/11/18, 11:15",Course: Програмни езици,System,Course viewed,The user with id '7160' viewed the course with id '49'.,web,193.57.20.13
"2/11/18, 11:15",File: Упражнение 4,File,Course module viewed,The user with id '7160' viewed the 'resource' activity with course module id '734'.,web,193.57.20.13
"2/11/18, 11:15",Course: Програмни езици,System,Course viewed,The user with id '7160' viewed the course with id '49'.,web,193.57.20.13
"2/11/18, 11:15",File: Упражнение 5,File,Course module viewed,The user with id '7160' viewed the 'resource' activity with course module id '735'.,web,193.57.20.13
"2/11/18, 11:15",Course: Програмни езици,System,Course viewed,The user with id '7160' viewed the course with id '49'.,web,193.57.20.13
"2/11/18, 11:15",File: Упражнение 6,File,Course module viewed,The user with id '7160' viewed the 'resource' activity with course module id '736'.,web,193.57.20.13
"2/11/18, 11:15",Course: Програмни езици,System,Course viewed,The user with id '7160' viewed the course with id '49'.,web,193.57.20.13
"2/11/18, 11:15",File: Упражнение 7,File,Course module viewed,The user with id '7160' viewed the 'resource' activity with course module id '737'.,web,193.57.20.13
"2/11/18, 11:15",File: Упражнение 7,File,Course module viewed,The user with id '7160' viewed the 'resource' activity with course module id '737'.,web,193.57.20.13
"2/11/18, 11:15",Course: Програмни езици,System,Course viewed,The user with id '7160' viewed the course with id '49'.,web,193.57.20.13
"2/11/18, 11:15",File: Упражнения 9 и 10,File,Course module viewed,The user with id '7160' viewed the 'resource' activity with course module id '1605'.,web,193.57.20.13
"2/11/18, 11:15",Course: Програмни езици,System,Course viewed,The user with id '7160' viewed the course with id '49'.,web,193.57.20.13
"2/11/18, 11:15",File: Упражнение 8,File,Course module viewed,The user with id '7160' viewed the 'resource' activity with course module id '1594'.,web,193.57.20.13
"2/11/18, 11:15",Course: Програмни езици,System,Course viewed,The user with id '7160' viewed the course with id '49'.,web,193.57.20.13
"2/11/18, 11:15",File: Упражнение 5,File,Course module viewed,The user with id '7160' viewed the 'resource' activity with course module id '735'.,web,193.57.20.13
"2/11/18, 11:15",Course: Програмни езици,System,Course viewed,The user with id '7160' viewed the course with id '49'.,web,193.57.20.13
"31/10/18, 23:09",File: Лекция 7,File,Course module viewed,The user with id '7146' viewed the 'resource' activity with course module id '1588'.,web,78.90.132.185
"31/10/18, 23:08",Course: Програмни езици,System,Course viewed,The user with id '7146' viewed the course with id '49'.,web,78.90.132.185
"31/10/18, 22:59",File: Лекция 7,File,Course module viewed,The user with id '7146' viewed the 'resource' activity with course module id '1588'.,web,78.90.132.185
"31/10/18, 22:59",Course: Програмни езици,System,Course viewed,The user with id '7146' viewed the course with id '49'.,web,78.90.132.185
"31/10/18, 22:57",File: Лекция 6,File,Course module viewed,The user with id '7146' viewed the 'resource' activity with course module id '1587'.,web,78.90.132.185
"31/10/18, 22:57",Course: Програмни езици,System,Course viewed,The user with id '7146' viewed the course with id '49'.,web,78.90.132.185
"31/10/18, 22:47",Course: Програмни езици,System,Course viewed,The user with id '7146' viewed the course with id '49'.,web,78.90.132.185
"31/10/18, 22:47",File: Лекция 4,File,Course module viewed,The user with id '7146' viewed the 'resource' activity with course module id '1578'.,web,78.90.132.185
"31/10/18, 22:47",Course: Програмни езици,System,Course viewed,The user with id '7146' viewed the course with id '49'.,web,78.90.132.185
"31/10/18, 22:47",File: Лекция 5,File,Course module viewed,The user with id '7146' viewed the 'resource' activity with course module id '1579'.,web,78.90.132.185
"31/10/18, 22:47",Course: Програмни езици,System,Course viewed,The user with id '7146' viewed the course with id '49'.,web,78.90.132.185
"31/10/18, 14:21",Course: Програмни езици,System,Course viewed,The user with id '6720' viewed the course with id '49'.,web,78.90.105.186
"31/10/18, 10:18",File: Списък на студентите за получаване на проекти за освобождаване от изпит по ПЕ (2018-2019),File,Course module viewed,The user with id '6720' viewed the 'resource' activity with course module id '5104'.,web,78.90.105.186
"31/10/18, 10:18",Course: Програмни езици,System,Course viewed,The user with id '6720' viewed the course with id '49'.,web,78.90.105.186
"31/10/18, 10:04",File: Упражнение 1,File,Course module viewed,The user with id '7234' viewed the 'resource' activity with course module id '731'.,web,78.90.51.185
"31/10/18, 10:04",Course: Програмни езици,System,Course viewed,The user with id '7234' viewed the course with id '49'.,web,78.90.51.185
"31/10/18, 09:57",Course: Програмни езици,System,Course viewed,The user with id '7098' viewed the course with id '49'.,web,81.161.240.52
"31/10/18, 09:57",File: Упражнение 6,File,Course module viewed,The user with id '7098' viewed the 'resource' activity with course module id '736'.,web,81.161.240.52
"31/10/18, 09:57",Course: Програмни езици,System,Course viewed,The user with id '7098' viewed the course with id '49'.,web,81.161.240.52
"31/10/18, 09:57",File: Списък на студентите за получаване на проекти за освобождаване от изпит по ПЕ (2018-2019),File,Course module viewed,The user with id '7098' viewed the 'resource' activity with course module id '5104'.,web,81.161.240.52
"31/10/18, 09:56",Course: Програмни езици,System,Course viewed,The user with id '7098' viewed the course with id '49'.,web,81.161.240.52
"31/10/18, 09:45",File: Упражнение 3,File,Course module viewed,The user with id '7095' viewed the 'resource' activity with course module id '733'.,web,149.62.205.86
"31/10/18, 09:44",Course: Програмни езици,System,Course viewed,The user with id '7095' viewed the course with id '49'.,web,149.62.205.86
"31/10/18, 09:19",File: Упражнение 2,File,Course module viewed,The user with id '7095' viewed the 'resource' activity with course module id '732'.,web,149.62.205.86
"31/10/18, 09:19",Course: Програмни езици,System,Course viewed,The user with id '7095' viewed the course with id '49'.,web,149.62.205.86
"30/10/18, 20:51",File: Упражнение 4,File,Course module viewed,The user with id '7160' viewed the 'resource' activity with course module id '734'.,web,78.90.96.111
"30/10/18, 20:51",Course: Програмни езици,System,Course viewed,The user with id '7160' viewed the course with id '49'.,web,78.90.96.111
"30/10/18, 18:25",File: Лекция 7,File,Course module viewed,The user with id '7256' viewed the 'resource' activity with course module id '1588'.,web,78.90.105.184
"30/10/18, 18:25",Course: Програмни езици,System,Course viewed,The user with id '7256' viewed the course with id '49'.,web,78.90.105.184
"30/10/18, 18:25",File: Лекция 8,File,Course module viewed,The user with id '7256' viewed the 'resource' activity with course module id '1589'.,web,78.90.105.184
"30/10/18, 18:25",Course: Програмни езици,System,Course viewed,The user with id '7256' viewed the course with id '49'.,web,78.90.105.184
"30/10/18, 18:25",File: Лекция 6,File,Course module viewed,The user with id '7256' viewed the 'resource' activity with course module id '1587'.,web,78.90.105.184
"30/10/18, 18:25",Course: Програмни езици,System,Course viewed,The user with id '7256' viewed the course with id '49'.,web,78.90.105.184
"30/10/18, 17:38",Forum: Новинарски форум,Forum,Discussion viewed,The user with id '7091' has viewed the discussion with id '209' in the forum with course module id '81'.,web,95.42.16.29
"30/10/18, 17:38",Forum: Новинарски форум,Forum,Discussion viewed,The user with id '7091' has viewed the discussion with id '209' in the forum with course module id '81'.,web,95.42.16.29
"30/10/18, 17:38",Forum: Новинарски форум,Forum,Course module viewed,The user with id '7091' viewed the 'forum' activity with course module id '81'.,web,95.42.16.29
"30/10/18, 17:38",Forum: Новинарски форум,Forum,Discussion viewed,The user with id '7091' has viewed the discussion with id '209' in the forum with course module id '81'.,web,95.42.16.29
"30/10/18, 17:38",Forum: Новинарски форум,Forum,Course module viewed,The user with id '7091' viewed the 'forum' activity with course module id '81'.,web,95.42.16.29
